"pitcherid","pitcher","pitch_type","p_throws","rockies","hb","ivb","velo","spin","nPitches"
502043,"Kyle Gibson","CH","R","COL",-9.52285714285714,4.00285714285714,85.1714285714286,1758.21428571429,14
502043,"Kyle Gibson","CH","R","Other",-12.8372413793103,4.67816091954023,84.8992337164751,NA,261
502043,"Kyle Gibson","CU","R","COL",3.99428571428571,-7.04571428571429,78.3142857142857,2423.57142857143,7
502043,"Kyle Gibson","CU","R","Other",6.51775862068965,-9.53844827586207,78.3198275862069,NA,232
502043,"Kyle Gibson","FC","R","COL",3.98727272727273,4.83272727272727,87.6681818181818,2361.95454545455,22
502043,"Kyle Gibson","FC","R","Other",2.6924064171123,8.93839572192513,88.6162210338681,NA,561
502043,"Kyle Gibson","FF","R","COL",-3.42352941176471,12.1905882352941,91.2058823529412,2206.41176470588,17
502043,"Kyle Gibson","FF","R","Other",-4.51117478510029,16.1628653295129,91.404011461318,2233.54441260745,349
502043,"Kyle Gibson","SI","R","COL",-9.984,5.808,91.22,2055,5
502043,"Kyle Gibson","SI","R","Other",-13.2291310344828,7.5495724137931,90.712,NA,725
502043,"Kyle Gibson","ST","R","COL",10.404,-0.408,80.86,2393.1,10
502043,"Kyle Gibson","ST","R","Other",12.5172192513369,-0.396791443850267,80.7377896613191,NA,561
518876,"Merrill Kelly","CH","R","COL",-12.1978378378378,0.814054054054054,88.3864864864865,2147.24324324324,37
518876,"Merrill Kelly","CH","R","Other",-14.810495049505,1.05029702970297,88.3995049504951,2179.62871287129,202
518876,"Merrill Kelly","CU","R","COL",6.94,-8.87,81.1416666666667,2616.75,12
518876,"Merrill Kelly","CU","R","Other",9.09974025974026,-10.147012987013,82.3831168831169,2657.31168831169,77
518876,"Merrill Kelly","FC","R","COL",-0.934,9.53,90.5133333333333,2369.63333333333,60
518876,"Merrill Kelly","FC","R","Other",-1.45578947368421,11.0926315789474,90.2833333333333,2391.16228070175,228
518876,"Merrill Kelly","FF","R","COL",-6.9264,12.1632,91.62,2369.72,25
518876,"Merrill Kelly","FF","R","Other",-8.41989949748744,14.8347738693467,91.9587939698493,2389.29648241206,199
518876,"Merrill Kelly","SI","R","COL",-11.44,7.808,92.0066666666667,2198.8,15
518876,"Merrill Kelly","SI","R","Other",-15.5036842105263,6.74921052631579,92.3585526315789,2257.81578947368,152
518876,"Merrill Kelly","SL","R","COL",3.12,0.856,85.48,2376.96666666667,30
518876,"Merrill Kelly","SL","R","Other",2.712,2.63314285714286,85.6142857142857,2385.61904761905,105
543294,"Kyle Hendricks","CH","R","COL",-7.21058823529412,6.93176470588235,80.5411764705882,2180.05882352941,34
543294,"Kyle Hendricks","CH","R","Other",-10.7922824716267,8.29543505674653,80.9114754098361,2169.17150063052,793
543294,"Kyle Hendricks","CU","R","COL",12.9818181818182,-7.75636363636364,73.4636363636364,2878.18181818182,11
543294,"Kyle Hendricks","CU","R","Other",15.0040298507463,-10.634776119403,74.3485074626866,2980.25746268657,268
543294,"Kyle Hendricks","FF","R","COL",-3.52421052631579,10.6736842105263,87.0631578947368,2059.73684210526,19
543294,"Kyle Hendricks","FF","R","Other",-6.18380952380952,14.6580952380952,87.7523809523809,2089.28174603175,252
543294,"Kyle Hendricks","SI","R","COL",-9.72571428571429,6.46285714285714,87.0857142857143,1994.52380952381,21
543294,"Kyle Hendricks","SI","R","Other",-13.5030122116689,7.12168249660787,87.6298507462687,2010.40976933514,737
543339,"Daniel Hudson","CH","R","Other",-16.6118918918919,12.1913513513514,88.6972972972973,2398.89189189189,37
